Loading checkpoint shards: 100%|██████████████████| 8/8 [00:16<00:00,  2.03s/it]
INFO:__main__:Tokenizer max length: 1000000000000000019884624838656
INFO:__main__:Loading datasets...
INFO:__main__:Train dataset length: 7473
INFO:__main__:Validation dataset length: 1319
INFO:__main__:Trainable: 432144384 | total: 9673850368 | Percentage: 4.4671%
/home/llm4math/miniconda3/envs/mathllm/lib/python3.12/site-packages/huggingface_hub/utils/_deprecation.py:100: FutureWarning: Deprecated argument(s) used in '__init__': dataset_text_field. Will not be supported from version '0.13.0'.

Deprecated positional argument(s) used in SFTTrainer, please use the SFTConfig to set these arguments instead.
  warnings.warn(message, FutureWarning)
/home/llm4math/miniconda3/envs/mathllm/lib/python3.12/site-packages/trl/trainer/sft_trainer.py:328: UserWarning: You passed a `dataset_text_field` argument to the SFTTrainer, the value you passed will override the one in the `SFTConfig`.
  warnings.warn(
[2024-12-10 03:59:50,839] [INFO] [real_accelerator.py:219:get_accelerator] Setting ds_accelerator to cuda (auto detect)
INFO:root:gcc -pthread -B /home/llm4math/miniconda3/envs/mathllm/compiler_compat -fno-strict-overflow -Wsign-compare -DNDEBUG -O2 -Wall -fPIC -O2 -isystem /home/llm4math/miniconda3/envs/mathllm/include -fPIC -O2 -isystem /home/llm4math/miniconda3/envs/mathllm/include -fPIC -c /tmp/tmpnaeegv4w/test.c -o /tmp/tmpnaeegv4w/test.o
INFO:root:gcc -pthread -B /home/llm4math/miniconda3/envs/mathllm/compiler_compat /tmp/tmpnaeegv4w/test.o -laio -o /tmp/tmpnaeegv4w/a.out
INFO:root:gcc -pthread -B /home/llm4math/miniconda3/envs/mathllm/compiler_compat -fno-strict-overflow -Wsign-compare -DNDEBUG -O2 -Wall -fPIC -O2 -isystem /home/llm4math/miniconda3/envs/mathllm/include -fPIC -O2 -isystem /home/llm4math/miniconda3/envs/mathllm/include -fPIC -c /tmp/tmpijl7lsfg/test.c -o /tmp/tmpijl7lsfg/test.o
INFO:root:gcc -pthread -B /home/llm4math/miniconda3/envs/mathllm/compiler_compat /tmp/tmpijl7lsfg/test.o -L/usr/local/cuda -L/usr/local/cuda/lib64 -lcufile -o /tmp/tmpijl7lsfg/a.out
INFO:__main__:Starting training...
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
  0%|                                                   | 0/348 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                                                
{'loss': 2.2691, 'grad_norm': 0.880357027053833, 'learning_rate': 2e-09, 'epoch': 0.01}
{'loss': 2.152, 'grad_norm': 0.8142691850662231, 'learning_rate': 4e-09, 'epoch': 0.02}
{'loss': 2.3626, 'grad_norm': 0.9056704640388489, 'learning_rate': 6e-09, 'epoch': 0.03}
{'loss': 2.3653, 'grad_norm': 0.9139223694801331, 'learning_rate': 8e-09, 'epoch': 0.03}
{'loss': 2.357, 'grad_norm': 0.9183345437049866, 'learning_rate': 1e-08, 'epoch': 0.04}
{'loss': 2.2613, 'grad_norm': 0.8735767602920532, 'learning_rate': 1.2e-08, 'epoch': 0.05}
{'loss': 2.26, 'grad_norm': 0.8738291263580322, 'learning_rate': 1.4e-08, 'epoch': 0.06}
{'loss': 2.214, 'grad_norm': 0.8386578559875488, 'learning_rate': 1.6e-08, 'epoch': 0.07}
{'loss': 2.3009, 'grad_norm': 0.8980633020401001, 'learning_rate': 1.8e-08, 'epoch': 0.08}
{'loss': 2.3339, 'grad_norm': 0.9173529148101807, 'learning_rate': 2e-08, 'epoch': 0.09}
{'loss': 2.3246, 'grad_norm': 0.8944514393806458, 'learning_rate': 2.2e-08, 'epoch': 0.09}
{'loss': 2.206, 'grad_norm': 0.8330311179161072, 'learning_rate': 2.4e-08, 'epoch': 0.1}
{'loss': 2.3677, 'grad_norm': 0.9394896626472473, 'learning_rate': 2.5999999999999998e-08, 'epoch': 0.11}
{'loss': 2.2759, 'grad_norm': 0.8851959109306335, 'learning_rate': 2.8e-08, 'epoch': 0.12}
{'loss': 2.2028, 'grad_norm': 0.820631206035614, 'learning_rate': 3e-08, 'epoch': 0.13}
{'loss': 2.272, 'grad_norm': 0.8998036980628967, 'learning_rate': 3.2e-08, 'epoch': 0.14}
{'loss': 2.2884, 'grad_norm': 0.9146229028701782, 'learning_rate': 3.4e-08, 'epoch': 0.15}
{'loss': 2.4004, 'grad_norm': 0.9339677691459656, 'learning_rate': 3.6e-08, 'epoch': 0.15}
{'loss': 2.2334, 'grad_norm': 0.8630523085594177, 'learning_rate': 3.7999999999999996e-08, 'epoch': 0.16}
{'loss': 2.2276, 'grad_norm': 0.8553646206855774, 'learning_rate': 4e-08, 'epoch': 0.17}
{'loss': 2.3315, 'grad_norm': 0.8956261873245239, 'learning_rate': 4.2e-08, 'epoch': 0.18}
{'loss': 2.2868, 'grad_norm': 0.8862883448600769, 'learning_rate': 4.4e-08, 'epoch': 0.19}
{'loss': 2.2545, 'grad_norm': 0.8621038794517517, 'learning_rate': 4.5999999999999995e-08, 'epoch': 0.2}
{'loss': 2.2782, 'grad_norm': 0.8836210370063782, 'learning_rate': 4.8e-08, 'epoch': 0.21}
{'loss': 2.2638, 'grad_norm': 0.8822898864746094, 'learning_rate': 5e-08, 'epoch': 0.21}
{'loss': 2.3236, 'grad_norm': 0.8985455632209778, 'learning_rate': 5.1999999999999996e-08, 'epoch': 0.22}
{'loss': 2.2579, 'grad_norm': 0.8679768443107605, 'learning_rate': 5.3999999999999994e-08, 'epoch': 0.23}
{'loss': 2.2925, 'grad_norm': 0.8994676470756531, 'learning_rate': 5.6e-08, 'epoch': 0.24}
{'loss': 2.3249, 'grad_norm': 0.9000476598739624, 'learning_rate': 5.8e-08, 'epoch': 0.25}
{'loss': 2.262, 'grad_norm': 0.8847007751464844, 'learning_rate': 6e-08, 'epoch': 0.26}
{'loss': 2.1681, 'grad_norm': 0.822491466999054, 'learning_rate': 6.2e-08, 'epoch': 0.27}
{'loss': 2.2948, 'grad_norm': 0.8831161260604858, 'learning_rate': 6.4e-08, 'epoch': 0.27}
{'loss': 2.2093, 'grad_norm': 0.8501384854316711, 'learning_rate': 6.6e-08, 'epoch': 0.28}
{'loss': 2.1838, 'grad_norm': 0.835283637046814, 'learning_rate': 6.8e-08, 'epoch': 0.29}
{'loss': 2.2751, 'grad_norm': 0.8940924406051636, 'learning_rate': 7e-08, 'epoch': 0.3}
{'loss': 2.3533, 'grad_norm': 0.9050736427307129, 'learning_rate': 7.2e-08, 'epoch': 0.31}
{'loss': 2.3899, 'grad_norm': 0.9526581764221191, 'learning_rate': 7.399999999999999e-08, 'epoch': 0.32}
{'loss': 2.189, 'grad_norm': 0.828170895576477, 'learning_rate': 7.599999999999999e-08, 'epoch': 0.33}
{'loss': 2.3741, 'grad_norm': 0.9620696902275085, 'learning_rate': 7.8e-08, 'epoch': 0.33}
{'loss': 2.167, 'grad_norm': 0.8246479630470276, 'learning_rate': 8e-08, 'epoch': 0.34}
{'loss': 2.2375, 'grad_norm': 0.8673622012138367, 'learning_rate': 8.2e-08, 'epoch': 0.35}
{'loss': 2.1968, 'grad_norm': 0.8359315991401672, 'learning_rate': 8.4e-08, 'epoch': 0.36}
{'loss': 2.3224, 'grad_norm': 0.9157382845878601, 'learning_rate': 8.599999999999999e-08, 'epoch': 0.37}
{'loss': 2.2664, 'grad_norm': 0.8724027872085571, 'learning_rate': 8.8e-08, 'epoch': 0.38}
{'loss': 2.2412, 'grad_norm': 0.8781033158302307, 'learning_rate': 9e-08, 'epoch': 0.39}
{'loss': 2.2454, 'grad_norm': 0.8778107762336731, 'learning_rate': 9.199999999999999e-08, 'epoch': 0.39}
{'loss': 2.2266, 'grad_norm': 0.8735708594322205, 'learning_rate': 9.4e-08, 'epoch': 0.4}
{'loss': 2.2432, 'grad_norm': 0.8567269444465637, 'learning_rate': 9.6e-08, 'epoch': 0.41}
{'loss': 2.2678, 'grad_norm': 0.8730878829956055, 'learning_rate': 9.8e-08, 'epoch': 0.42}
{'loss': 2.3276, 'grad_norm': 0.9096305966377258, 'learning_rate': 1e-07, 'epoch': 0.43}
{'loss': 2.306, 'grad_norm': 0.9062357544898987, 'learning_rate': 1.0199999999999999e-07, 'epoch': 0.44}
{'loss': 2.1853, 'grad_norm': 0.823697030544281, 'learning_rate': 1.0399999999999999e-07, 'epoch': 0.44}
